LncRNA,Environmental factors,P value (FDR correction)
PDXDC2P,Retinoic Acid,0.0039 
RP11-549J18.1,Retinoic Acid,0.0039 
RP11-697M17.1,Retinoic Acid,0.0039 
RP11-77H9.2,Etoposide,0.0039 
RP5-1028K7.2,Retinoic Acid,0.0039 
AD000090.2,5-fluorouracil (5-FU),0.0039 
KCNQ1OT1,BPA,0.0039 
KCNQ1OT1,DDT,0.0039 
KCNQ1OT1,E2,0.0039 
KCNQ1OT1,ionising radiation,0.0039 
RP11-264B17.3,Estradiol (E2),0.0039 
LA16c-306E5.2,hypoxia,0.0039 
AC093627.10,4-HPR and EGCG,0.0039 
AC093627.10,Benzo(a)pyrene (BaP),0.0039 
DAPK1-IT1,4-HPR and EGCG,0.0039 
DAPK1-IT1,Benzo(a)pyrene (BaP),0.0039 
DLEU2,gefitinib,0.0039 
PITPNA-AS1,4-HPR and EGCG,0.0039 
PITPNA-AS1,Benzo(a)pyrene (BaP),0.0039 
RP3-508I15.9,4-HPR and EGCG,0.0039 
RP3-508I15.9,Benzo(a)pyrene (BaP),0.0039 
RP5-935K16.1,gefitinib,0.0039 
RP11-214O1.2,Epigallocatechin gallate (EGCG),0.0039 
RP11-361F15.2,Epigallocatechin gallate (EGCG),0.0039 
LINC00094,drug,0.0039 
GS1-124K5.11,HIV,0.0039 
KIAA1984-AS1,Human T-lymphotropic virus type 1 (HTLV-1),0.0039 
HOXA11-AS,Arsenic trioxide,0.0039 
AC005863.1,adriamycin,0.0039 
AC078852.1,adriamycin,0.0039 
AC112229.7,adriamycin,0.0039 
LINC00173,Retinoic Acid,0.0039 
RNU12,Retinoic Acid,0.0039 
RP11-156L14.1,adriamycin,0.0039 
RP11-397D12.6,adriamycin,0.0039 
RP11-6N17.9,adriamycin,0.0039 
RP11-730K11.1,adriamycin,0.0039 
RP11-872J21.3,Retinoic Acid,0.0039 
A1BG-AS1,Cyclic mechanical stress (CMS),0.0039 
A1BG-AS1,gamma-irradiation and genotoxic drugs,0.0039 
A1BG-AS1,methotrexate (MTX),0.0039 
AC013268.5,aminoglycoside,0.0039 
AC034220.3,Isoflavone,0.0039 
AC068610.3,iron- and aluminum-sulfate,0.0039 
AC083843.1,iron- and aluminum-sulfate,0.0039 
AC121336.2,Ara-C,0.0039 
AC121336.2,cisplatin (CDDP),0.0039 
AC121336.2,daunorubicin,0.0039 
AC121336.2,Mycobacterium leprae,0.0039 
AC121336.2,thapsigargin-induced intracellular Ca(),0.0039 
AC121336.2,vincristine (VCR),0.0039 
AP000265.1,CagA,0.0039 
CERS6-AS1,"Arsenic trioxide (As(2)O(3), ATO)",0.0039 
CERS6-AS1,Polycyclic aromatic hydrocarbons,0.0039 
CTD-2339L15.3,"Arsenic trioxide (As(2)O(3), ATO)",0.0039 
CTD-2339L15.3,Polycyclic aromatic hydrocarbons,0.0039 
CTD-2377D24.6,CagA,0.0039 
CTD-3099C6.9,fulvestrant,0.0039 
GS1-259H13.2,fulvestrant,0.0039 
LINC00087,CagA,0.0039 
LINC00649,"Arsenic trioxide (As(2)O(3), ATO)",0.0039 
LINC00649,Polycyclic aromatic hydrocarbons,0.0039 
MEG8,"Arsenic trioxide (As(2)O(3), ATO)",0.0039 
MEG8,Polycyclic aromatic hydrocarbons,0.0039 
RNU4ATAC,Isoflavone,0.0039 
RP11-155D18.12,"Arsenic trioxide (As(2)O(3), ATO)",0.0039 
RP11-155D18.12,Polycyclic aromatic hydrocarbons,0.0039 
RP11-175K6.1,CagA,0.0039 
RP11-234O6.2,Isoflavone,0.0039 
RP11-244H3.1,"Arsenic trioxide (As(2)O(3), ATO)",0.0039 
RP11-244H3.1,Polycyclic aromatic hydrocarbons,0.0039 
RP11-24B19.3,iron- and aluminum-sulfate,0.0039 
RP11-276H19.2,genotoxic stress,0.0039 
RP11-290F20.1,Chronic oxidative stress,0.0039 
RP11-290F20.1,Necitumumab,0.0039 
RP11-329L6.1,"Arsenic trioxide (As(2)O(3), ATO)",0.0039 
RP11-329L6.1,Polycyclic aromatic hydrocarbons,0.0039 
RP11-334J6.4,iron- and aluminum-sulfate,0.0039 
RP11-420G6.4,aminoglycoside,0.0039 
RP11-473M20.16, 5-Aza,0.0039 
RP11-473M20.16,Camptothecin (CPT),0.0039 
RP11-473M20.16,interleukin-6 (IL-6),0.0039 
RP11-657O9.1,CagA,0.0039 
RP11-715F3.2,Ara-C,0.0039 
RP11-715F3.2,cisplatin (CDDP),0.0039 
RP11-715F3.2,daunorubicin,0.0039 
RP11-715F3.2,Mycobacterium leprae,0.0039 
RP11-715F3.2,thapsigargin-induced intracellular Ca(),0.0039 
RP11-715F3.2,vincristine (VCR),0.0039 
RP1-239B22.5,"LPS, peptidoglycan, or polyinosinic-polycytidylic acid",0.0039 
RP1-239B22.5,serum starvation and chemotherapeutic drug,0.0039 
RP4-714D9.5,Isoflavone,0.0039 
RP5-1148A21.3,"Arsenic trioxide (As(2)O(3), ATO)",0.0039 
RP5-1148A21.3,Polycyclic aromatic hydrocarbons,0.0039 
RP6-206I17.2,"Arsenic trioxide (As(2)O(3), ATO)",0.0039 
RP6-206I17.2,Polycyclic aromatic hydrocarbons,0.0039 
SNHG6,"LPS, peptidoglycan, or polyinosinic-polycytidylic acid",0.0039 
SNHG6,serum starvation and chemotherapeutic drug,0.0039 
SNORD62A,iron- and aluminum-sulfate,0.0039 
SPTY2D1-AS1, 5-Aza,0.0039 
SPTY2D1-AS1,Camptothecin (CPT),0.0039 
SPTY2D1-AS1,interleukin-6 (IL-6),0.0039 
TBX5-AS1,Isoflavone,0.0039 
ZNF833P,3-nitropropionic acid (3-NPA),0.0039 
ZNF833P,deoxycholic acid,0.0039 
ZNF833P,pacitaxel,0.0039 
RP11-315C6.3,fludarabine,0.0040 
SNHG12,fludarabine,0.0040 
SNHG7,fludarabine,0.0040 
AC005562.1,Glucocorticoids (GCs),0.0040 
AC005562.1,thyrotropin,0.0040 
RP11-159D12.9,thyrotropin,0.0040 
RP5-955M13.3,thyrotropin,0.0040 
RP13-638C3.2,hypoxia,0.0040 
XIST,hydroxycamptothecin (HCPT),0.0040 
XIST,paclitaxel,0.0040 
CDKN2B-AS1,adriamycin,0.0040 
CTD-3138B18.5,metformin,0.0040 
AC006262.5,doxorubicin (Dox),0.0041 
AC092835.2,doxorubicin (Dox),0.0041 
RP4-785G19.5,doxorubicin (Dox),0.0041 
RP11-256L11.3,Estradiol (E2),0.0041 
RP11-373L8.2,Estradiol (E2),0.0041 
RP5-1061H20.4,Estradiol (E2),0.0041 
SOS1-IT1,Estradiol (E2),0.0041 
NUTM2A-AS1,Estradiol (E2),0.0041 
AC093642.3,Arsenic,0.0042 
RP11-425I13.3,curcumin,0.0042 
RP11-658F2.8,Arsenic,0.0042 
HOXA11-AS,H2O2,0.0043 
RP11-77H9.2,radiation,0.0043 
AC005943.5,Imatinib,0.0043 
RP11-347I19.3,Imatinib,0.0043 
RP11-615I2.7,Polyunsaturated fatty acids (PUFAs),0.0043 
CDKN2B-AS1,gemcitabine,0.0043 
CWC15,thyrotropin,0.0043 
RP11-156E6.1,HCV,0.0043 
RP11-156E6.1,pyruvate kinase type M2 (PKM2),0.0043 
RP11-27I1.2,thyrotropin,0.0043 
SNHG1,nicotine,0.0043 
SNHG1,thyrotropin,0.0043 
UBXN8,HCV,0.0043 
RP11-216F19.2,hypoxia,0.0044 
RP11-213H15.3,cisplatin,0.0044 
RP11-213H15.3,cisplatin ,0.0044 
AC121336.2,Arsenic trioxide,0.0044 
AP000265.1,irradiation,0.0044 
CTD-2377D24.6,irradiation,0.0044 
LINC00087,irradiation,0.0044 
RP11-175K6.1,irradiation,0.0044 
RP11-657O9.1,irradiation,0.0044 
RP11-715F3.2,Arsenic trioxide,0.0044 
CTC-228N24.3,H2O2,0.0044 
AP001065.2,curcumin,0.0044 
RP11-125K10.4,curcumin,0.0044 
RP11-282K24.3,curcumin,0.0044 
RP11-453E17.1,curcumin,0.0044 
RP11-477D19.2,curcumin,0.0044 
RP11-540O11.1,curcumin,0.0044 
CTD-2270L9.5,Estradiol (E2),0.0044 
RP11-27I1.2,Estradiol (E2),0.0044 
RP11-701H24.4,paclitaxel,0.0044 
RP11-277P12.20,Retinoic Acid,0.0044 
RP11-457M11.2,Retinoic Acid,0.0044 
RP11-498P14.3,Retinoic Acid,0.0044 
XXbac-BPG300A18.13,Retinoic Acid,0.0044 
CTC-228N24.3,cigarette smoke (CS),0.0044 
RP11-214C8.5,paclitaxel-carboplatin,0.0044 
LINC00839,drug,0.0044 
RP3-341D10.4,drug,0.0044 
RP11-170L3.8,Tamoxifen,0.0044 
MIR4720,Etoposide,0.0044 
AL136419.6,heat stress,0.0046 
CERS6-AS1,drug,0.0046 
CTD-2339L15.3,drug,0.0046 
LINC00649,drug,0.0046 
MEG3,heat stress,0.0046 
MEG8,drug,0.0046 
RP11-155D18.12,drug,0.0046 
RP11-244H3.1,drug,0.0046 
RP11-329L6.1,drug,0.0046 
RP11-420G6.4,heat stress,0.0046 
RP1-239B22.5,heat stress,0.0046 
RP5-1148A21.3,drug,0.0046 
RP6-206I17.2,drug,0.0046 
CTA-204B4.6,Epigallocatechin gallate (EGCG),0.0047 
LINC00707,thyrotropin,0.0047 
RP11-834C11.4,pyruvate kinase type M2 (PKM2),0.0047 
SNHG12,thyrotropin,0.0047 
SNHG7,methacrylic,0.0047 
GAS5,TGF-beta1,0.0047 
HNRNPU-AS1,Arsenic trioxide,0.0047 
U47924.19,5-aza-2'-deoxycytidine ,0.0047 
RP11-349A22.5,gemcitabine,0.0047 
RP11-510M2.10,gemcitabine,0.0047 
RP11-54O7.3,gemcitabine,0.0047 
RP1-265C24.9,hypoxia,0.0047 
AC093323.3,Human T-lymphotropic virus type 1 (HTLV-1),0.0047 
LINC00852,hydroxycamptothecin (HCPT),0.0047 
RP11-125K10.4,cocaine,0.0047 
RP11-282K24.3,cocaine,0.0047 
RP11-395G23.3,Human T-lymphotropic virus type 1 (HTLV-1),0.0047 
RP11-53I6.2,cocaine,0.0047 
RP11-53I6.2,folate,0.0047 
RP11-588K22.2,hypoxia,0.0047 
AC005152.2,Imatinib,0.0047 
PTCHD3P1,fludarabine,0.0047 
XIST,Estradiol (E2),0.0047 
RP11-1103G16.1,metformin,0.0047 
RP11-282O18.6,metformin,0.0047 
CTD-3099C6.9,cisplatin,0.0047 
CTD-3099C6.9,cisplatin ,0.0047 
AC005537.2,"Arsenic trioxide (As(2)O(3), ATO)",0.0047 
AC005537.2,Polycyclic aromatic hydrocarbons,0.0047 
AC011893.3,"Arsenic trioxide (As(2)O(3), ATO)",0.0047 
AC011893.3,Polycyclic aromatic hydrocarbons,0.0047 
AC012146.7,Chronic oxidative stress,0.0047 
AC012146.7,Necitumumab,0.0047 
AC074093.1,"Arsenic trioxide (As(2)O(3), ATO)",0.0047 
AC074093.1,Polycyclic aromatic hydrocarbons,0.0047 
AC091878.1,"Arsenic trioxide (As(2)O(3), ATO)",0.0047 
AC091878.1,Polycyclic aromatic hydrocarbons,0.0047 
AC093627.10,Isoflavone,0.0047 
CTC-246B18.8,"Arsenic trioxide (As(2)O(3), ATO)",0.0047 
CTC-246B18.8,Polycyclic aromatic hydrocarbons,0.0047 
CTC-429P9.3,"Arsenic trioxide (As(2)O(3), ATO)",0.0047 
CTC-429P9.3,Polycyclic aromatic hydrocarbons,0.0047 
CTD-2201E18.3,"Arsenic trioxide (As(2)O(3), ATO)",0.0047 
CTD-2201E18.3,Polycyclic aromatic hydrocarbons,0.0047 
CTD-3195I5.1,3-nitropropionic acid (3-NPA),0.0047 
CTD-3195I5.1,deoxycholic acid,0.0047 
CTD-3195I5.1,pacitaxel,0.0047 
DAPK1-IT1,Isoflavone,0.0047 
ERVK13-1,"Arsenic trioxide (As(2)O(3), ATO)",0.0047 
ERVK13-1,Polycyclic aromatic hydrocarbons,0.0047 
HOXA-AS3,Chronic oxidative stress,0.0047 
HOXA-AS3,Necitumumab,0.0047 
IQCH-AS1,"Arsenic trioxide (As(2)O(3), ATO)",0.0047 
IQCH-AS1,Polycyclic aromatic hydrocarbons,0.0047 
KB-1732A1.1,CagA,0.0047 
PITPNA-AS1,Isoflavone,0.0047 
PSMD6-AS2,Ara-C,0.0047 
PSMD6-AS2,cisplatin (CDDP),0.0047 
PSMD6-AS2,daunorubicin,0.0047 
PSMD6-AS2,Mycobacterium leprae,0.0047 
PSMD6-AS2,thapsigargin-induced intracellular Ca(),0.0047 
PSMD6-AS2,vincristine (VCR),0.0047 
RASAL2-AS1,"Arsenic trioxide (As(2)O(3), ATO)",0.0047 
RASAL2-AS1,Polycyclic aromatic hydrocarbons,0.0047 
RP11-267N12.3,CagA,0.0047 
RP11-298I3.1, 5-Aza,0.0047 
RP11-298I3.1,Camptothecin (CPT),0.0047 
RP11-298I3.1,interleukin-6 (IL-6),0.0047 
RP11-380L11.4,aminoglycoside,0.0047 
RP11-43D2.6,"Arsenic trioxide (As(2)O(3), ATO)",0.0047 
RP11-43D2.6,Polycyclic aromatic hydrocarbons,0.0047 
RP11-474P12.5,"Arsenic trioxide (As(2)O(3), ATO)",0.0047 
RP11-474P12.5,Polycyclic aromatic hydrocarbons,0.0047 
RP11-496I9.1,aminoglycoside,0.0047 
RP11-498E2.8,gefitinib,0.0047 
RP11-50E11.3,CagA,0.0047 
RP11-529K1.2,gefitinib,0.0047 
RP11-60I3.5,"Arsenic trioxide (As(2)O(3), ATO)",0.0047 
RP11-60I3.5,Polycyclic aromatic hydrocarbons,0.0047 
RP1-310O13.12,"Arsenic trioxide (As(2)O(3), ATO)",0.0047 
RP1-310O13.12,Polycyclic aromatic hydrocarbons,0.0047 
RP3-508I15.9,Isoflavone,0.0047 
SIK3-IT1,Chronic oxidative stress,0.0047 
SIK3-IT1,Necitumumab,0.0047 
LINC00339,drug,0.0047 
RP11-66B24.4,ionizing radiation,0.0047 
XXbac-B461K10.4,drug,0.0047 
CTC-273B12.8,opioids (morphine and heroin),0.0048 
RP11-347I19.3,progestin,0.0048 
RP11-480D4.3,progestin,0.0048 
ZNF761,progestin,0.0048 
AC141846.4,gefitinib,0.0049 
RP11-119F19.2,gefitinib,0.0049 
RP11-436A20.4,gefitinib,0.0049 
LINC00094,thyrotropin,0.0049 
RP11-403I13.4,thyrotropin,0.0049 
RP1-37E16.12,methacrylic,0.0049 
AL589743.1,paclitaxel,0.0049 
AC108142.1,curcumin,0.0049 
LINC00338,irradiation,0.0049 
RP11-834C11.4,Arsenic trioxide,0.0049 
RP11-834C11.4,irradiation,0.0049 
LL22NC03-N27C7.1,hypoxia,0.0049 
YLPM1,hypoxia,0.0049 
AC006445.8,5-FU,0.0049 
AC009133.15,opioids (morphine and heroin),0.0049 
AC010226.4,glucose,0.0049 
AC012307.3,Interleukin (IL)-12,0.0049 
AC021016.6,cytomegalovirus,0.0049 
AC021016.6,hepatitis B virus (HBV),0.0049 
AC021016.6,Oltipraz,0.0049 
AC079767.4,5-FU,0.0049 
CTD-2245O6.1,nutlin-3a,0.0049 
CTD-2555O16.2,medroxyprogesterone acetate (MPA),0.0049 
CTD-3185P2.2,capecitabine,0.0049 
CTD-3185P2.2,"metal (magnesium-, iron-, gallium, and aluminum)-sulfate",0.0049 
MCF2L-AS1,vincristine,0.0049 
RP11-1006G14.4,medroxyprogesterone acetate (MPA),0.0049 
RP11-132A1.3,capecitabine,0.0049 
RP11-132A1.3,"metal (magnesium-, iron-, gallium, and aluminum)-sulfate",0.0049 
RP11-153A23.6,nutlin-3a,0.0049 
RP11-173C20.2,cytomegalovirus,0.0049 
RP11-173C20.2,hepatitis B virus (HBV),0.0049 
RP11-173C20.2,Oltipraz,0.0049 
RP11-363G2.4,5-FU,0.0049 
RP11-396C23.2,medroxyprogesterone acetate (MPA),0.0049 
RP11-399K21.11,5-FU,0.0049 
RP11-412D9.4,5-FU,0.0049 
RP11-425I13.3,cytomegalovirus,0.0049 
RP11-425I13.3,hepatitis B virus (HBV),0.0049 
RP11-425I13.3,Oltipraz,0.0049 
RP11-492E3.2,medroxyprogesterone acetate (MPA),0.0049 
RP11-706J10.1,medroxyprogesterone acetate (MPA),0.0049 
RP11-96D1.10,Arsenic,0.0050 
RP11-311C24.1,Arsenic trioxide,0.0050 
RP11-145M9.4,Imatinib,0.0050 
LINC00511,Polyunsaturated fatty acids (PUFAs),0.0050 
LINC00610,Polyunsaturated fatty acids (PUFAs),0.0050 
AC090587.2,Retinoic Acid,0.0050 
AC113189.5,Retinoic Acid,0.0050 
KIF9-AS1,Retinoic Acid,0.0050 
MIR497HG,Retinoic Acid,0.0050 
RP11-18A3.4,Retinoic Acid,0.0050 
RP11-213H15.3,adriamycin,0.0050 
RP11-2C24.4,Retinoic Acid,0.0050 
RP11-363E7.4,drug,0.0050 
RP11-38J22.6,Retinoic Acid,0.0050 
RP11-66B24.4,Retinoic Acid,0.0050 
RP11-869B15.1,Retinoic Acid,0.0050 
XIST,gemcitabine,0.0051 
AP001619.2,docetaxel,0.0052 
AP001619.2,Imatinib,0.0052 
NPPA-AS1,docetaxel,0.0052 
NPPA-AS1,Imatinib,0.0052 
PTCHD3P1,5-fluorouracil-based antimetabolite S-1,0.0052 
PTCHD3P1,methacrylic,0.0052 
RP11-18I14.7,docetaxel,0.0052 
RP11-18I14.7,Imatinib,0.0052 
RP11-277L2.2,thyrotropin,0.0052 
RP11-923I11.1,thyrotropin,0.0052 
TP73-AS1,Glucocorticoids (GCs),0.0052 
FGD5-AS1,drug,0.0052 
AC009299.3,doxorubicin (Dox),0.0052 
RP11-480D4.3,17beta-estradiol (E(2)),0.0052 
RP1-265C24.9,doxorubicin (Dox),0.0052 
ZNF883,doxorubicin (Dox),0.0052 
RP11-973H7.2,drug,0.0052 
LINC00263,Retinoic Acid,0.0053 
RP11-64K12.2,Retinoic Acid,0.0053 
SCARNA10,Retinoic Acid,0.0053 
RP11-473I1.10,Etoposide,0.0053 
KCNQ1OT1,Estradiol (E2),0.0053 
GS1-358P8.4,paclitaxel,0.0053 
RP11-145M9.4,paclitaxel,0.0053 
RP11-54O7.1,UV irradiation,0.0053 
RP5-1172N10.3,E2?182780,0.0053 
RP5-1172N10.3,ICI-182780 (Fulvestrant),0.0053 
RP5-1172N10.3,MPA486,0.0053 
RP5-1172N10.3,RU486 (Mifepristone),0.0053 
WAC-AS1,gemcitabine,0.0054 
LINC00511,curcumin,0.0054 
RP11-390P2.4,curcumin,0.0054 
RP11-464F9.1,curcumin,0.0054 
SCGB1B2P,curcumin,0.0054 
SNHG16,radiation,0.0055 
LINC00665,Etoposide,0.0055 
MIR17HG,paclitaxel,0.0055 
AC000120.7,castration,0.0055 
LINC00511,HIV,0.0055 
RP11-379K17.4,cocaine,0.0055 
RP4-717I23.3,cocaine,0.0055 
U47924.19,HIV,0.0055 
LINC00339,thyrotropin,0.0055 
LINC00662,thyrotropin,0.0055 
RP11-186B7.4,pyruvate kinase type M2 (PKM2),0.0055 
XXbac-B461K10.4,thyrotropin,0.0055 
RP11-145M9.4,TGF-beta1,0.0055 
AF011889.4,the combination carboplatin/cisplatin with paclitaxel,0.0055 
AC005532.5,vincristine and daunorubicin,0.0055 
AL022344.4,Calcitonin gene-related peptide,0.0055 
AL022344.4,Insulin,0.0055 
CTC-338M12.2,vincristine and daunorubicin,0.0055 
CTD-2651B20.7,vincristine and daunorubicin,0.0055 
FLI1-AS1,Calcitonin gene-related peptide,0.0055 
FLI1-AS1,Insulin,0.0055 
NOP14-AS1,vincristine and daunorubicin,0.0055 
RP11-1055B8.4,Calcitonin gene-related peptide,0.0055 
RP11-1055B8.4,Insulin,0.0055 
RP11-174G17.2,vincristine and daunorubicin,0.0055 
RP11-264L1.3,vincristine and daunorubicin,0.0055 
RP11-331F9.10,Calcitonin gene-related peptide,0.0055 
RP11-331F9.10,Insulin,0.0055 
SLC38A3,Calcitonin gene-related peptide,0.0055 
SLC38A3,Insulin,0.0055 
CTC-479C5.10,Cyclic mechanical stress (CMS),0.0055 
CTC-479C5.10,gamma-irradiation and genotoxic drugs,0.0055 
CTC-479C5.10,methotrexate (MTX),0.0055 
CTD-2516F10.2,"Arsenic trioxide (As(2)O(3), ATO)",0.0055 
CTD-2516F10.2,Polycyclic aromatic hydrocarbons,0.0055 
CTD-2622I13.3,H2O2,0.0055 
INTS6-AS1,Ara-C,0.0055 
INTS6-AS1,cisplatin (CDDP),0.0055 
INTS6-AS1,daunorubicin,0.0055 
INTS6-AS1,Mycobacterium leprae,0.0055 
INTS6-AS1,thapsigargin-induced intracellular Ca(),0.0055 
INTS6-AS1,vincristine (VCR),0.0055 
LL22NC03-N27C7.1,"Arsenic trioxide (As(2)O(3), ATO)",0.0055 
LL22NC03-N27C7.1,"LPS, peptidoglycan, or polyinosinic-polycytidylic acid",0.0055 
LL22NC03-N27C7.1,Polycyclic aromatic hydrocarbons,0.0055 
LL22NC03-N27C7.1,serum starvation and chemotherapeutic drug,0.0055 
PDXDC2P,"Arsenic trioxide (As(2)O(3), ATO)",0.0055 
PDXDC2P,Polycyclic aromatic hydrocarbons,0.0055 
RP11-1134I14.8,"LPS, peptidoglycan, or polyinosinic-polycytidylic acid",0.0055 
RP11-1134I14.8,serum starvation and chemotherapeutic drug,0.0055 
RP11-227G15.3,Chronic oxidative stress,0.0055 
RP11-227G15.3,Necitumumab,0.0055 
RP11-415J8.7,Ara-C,0.0055 
RP11-415J8.7,cisplatin (CDDP),0.0055 
RP11-415J8.7,daunorubicin,0.0055 
RP11-415J8.7,Mycobacterium leprae,0.0055 
RP11-415J8.7,thapsigargin-induced intracellular Ca(),0.0055 
RP11-415J8.7,vincristine (VCR),0.0055 
RP11-549J18.1,"Arsenic trioxide (As(2)O(3), ATO)",0.0055 
RP11-549J18.1,Polycyclic aromatic hydrocarbons,0.0055 
RP11-697M17.1,"Arsenic trioxide (As(2)O(3), ATO)",0.0055 
RP11-697M17.1,Polycyclic aromatic hydrocarbons,0.0055 
RP11-77H9.2, 5-Aza,0.0055 
RP11-77H9.2,Camptothecin (CPT),0.0055 
RP11-77H9.2,Cyclic mechanical stress (CMS),0.0055 
RP11-77H9.2,gamma-irradiation and genotoxic drugs,0.0055 
RP11-77H9.2,interleukin-6 (IL-6),0.0055 
RP11-77H9.2,methotrexate (MTX),0.0055 
RP5-1028K7.2,"Arsenic trioxide (As(2)O(3), ATO)",0.0055 
RP5-1028K7.2,genotoxic stress,0.0055 
RP5-1028K7.2,Polycyclic aromatic hydrocarbons,0.0055 
RP5-842K24.2,H2O2,0.0055 
TAPT1-AS1,H2O2,0.0055 
YLPM1,"Arsenic trioxide (As(2)O(3), ATO)",0.0055 
YLPM1,Polycyclic aromatic hydrocarbons,0.0055 
TRAF3IP2-AS1,gemcitabine,0.0055 
RP1-5O6.6,4-HPR and EGCG,0.0055 
RP11-1103G16.1,H2O2,0.0055 
XIST,5-fluorouracil (5-FU),0.0056 
LINC00665,Estradiol (E2),0.0056 
RP11-973H7.2,irradiation,0.0057 
HCP5,hypoxia,0.0057 
LINC00176,curcumin,0.0057 
NUTM2A-AS1,adriamycin,0.0057 
NUTM2A-AS1,Etoposide,0.0057 
RP11-220I1.1,paclitaxel,0.0058 
RP11-615I2.7,paclitaxel,0.0058 
NUTM2A-AS1,curcumin,0.0058 
RP11-973H7.2,thyrotropin,0.0058 
H19,TGF-beta1,0.0058 
RP11-220I1.1,TGF-beta1,0.0058 
RP11-615I2.7,TGF-beta1,0.0058 
RP1-178F10.3,Epigallocatechin gallate (EGCG),0.0059 
RP11-996F15.2,Arsenic trioxide,0.0059 
RP13-638C3.2,irradiation,0.0059 
AC005537.2,drug,0.0061 
AC011893.3,drug,0.0061 
AC074093.1,drug,0.0061 
AC091878.1,drug,0.0061 
CTC-246B18.8,drug,0.0061 
CTC-429P9.3,drug,0.0061 
CTD-2201E18.3,drug,0.0061 
ERVK13-1,drug,0.0061 
IQCH-AS1,drug,0.0061 
RASAL2-AS1,drug,0.0061 
RP11-43D2.6,drug,0.0061 
RP11-474P12.5,drug,0.0061 
RP11-60I3.5,drug,0.0061 
RP1-310O13.12,drug,0.0061 
RP3-368A4.6,4-HPR and EGCG,0.0061 
RP3-368A4.6,Benzo(a)pyrene (BaP),0.0061 
SIK3-IT1,heat stress,0.0061 
CTD-2270L9.5,Retinoic Acid,0.0062 
CWC15,Retinoic Acid,0.0062 
LINC00263,Epigallocatechin gallate (EGCG),0.0062 
RP5-1180C10.2,hypoxia,0.0062 
ZNF718,hypoxia,0.0062 
RP11-1103G16.1,irradiation,0.0062 
RP11-156E6.1,paclitaxel,0.0062 
RP11-477D19.2,Epigallocatechin gallate (EGCG),0.0062 
AC005154.5,progestin,0.0062 
RP11-506M13.3,anabolic stimulus,0.0062 
AC016629.8,ionizing radiation,0.0062 
CROCCP2,hypoxia,0.0062 
XXbac-BPG32J3.20,hypoxia,0.0062 
AC005154.6,thyrotropin,0.0062 
LA16c-306E5.2,Glucocorticoids (GCs),0.0062 
LA16c-306E5.2,thyrotropin,0.0062 
RP11-379K17.11,thyrotropin,0.0062 
LINC00263,Arsenic trioxide,0.0062 
AC016629.8,hydroxycamptothecin (HCPT),0.0062 
SNHG12,exercise,0.0062 
AC074117.10,Estradiol (E2),0.0062 
AC108142.1,drug,0.0062 
MCM3AP-AS1,drug,0.0062 
RP11-588K22.2,drug,0.0062 
SNHG1,ionizing radiation,0.0062 
RP11-478C19.2,Tamoxifen,0.0062 
AC105760.2,metformin,0.0062 
HOXA11-AS,cocaine,0.0062 
LINC00667,fludarabine,0.0062 
CTB-92J24.2,paclitaxel-carboplatin,0.0062 
RP11-96D1.10,UV irradiation,0.0062 
RP5-1172N10.3,Polyunsaturated fatty acids (PUFAs),0.0062 
AC007040.11,folate,0.0062 
AC009501.4,folate,0.0062 
AP000525.9,medroxyprogesterone acetate (MPA),0.0062 
CTC-429L19.3,Human T-lymphotropic virus type 1 (HTLV-1),0.0062 
CTC-487M23.5,nutlin-3a,0.0062 
CTD-2090I13.1,nutlin-3a,0.0062 
LA16c-313D11.11,Interleukin (IL)-12,0.0062 
LINC00661,capecitabine,0.0062 
LINC00661,"metal (magnesium-, iron-, gallium, and aluminum)-sulfate",0.0062 
LINC00847,medroxyprogesterone acetate (MPA),0.0062 
RP11-103J17.2,vincristine,0.0062 
RP11-105N13.4,medroxyprogesterone acetate (MPA),0.0062 
RP11-120D5.1,nutlin-3a,0.0062 
RP11-158H5.7,Human T-lymphotropic virus type 1 (HTLV-1),0.0062 
RP11-169D4.1,folate,0.0062 
RP11-252A24.7,cytomegalovirus,0.0062 
RP11-252A24.7,hepatitis B virus (HBV),0.0062 
RP11-252A24.7,Oltipraz,0.0062 
RP11-54O7.2,folate,0.0062 
RP11-66N24.4,capecitabine,0.0062 
RP11-66N24.4,"metal (magnesium-, iron-, gallium, and aluminum)-sulfate",0.0062 
PCBP1-AS1,cocaine,0.0062 
PCBP1-AS1,sulindac sulfide,0.0062 
RP11-244O19.1,cocaine,0.0062 
RP11-622K12.1,Arsenic,0.0062 
RP4-614O4.11,cocaine,0.0062 
UHRF1,sulindac sulfide,0.0062 
AC003092.1,"Arsenic trioxide (As(2)O(3), ATO)",0.0062 
AC003092.1,Polycyclic aromatic hydrocarbons,0.0062 
AC079117.1,Ara-C,0.0062 
AC079117.1,cisplatin (CDDP),0.0062 
AC079117.1,daunorubicin,0.0062 
AC079117.1,Mycobacterium leprae,0.0062 
AC079117.1,thapsigargin-induced intracellular Ca(),0.0062 
AC079117.1,vincristine (VCR),0.0062 
AC090587.2,"Arsenic trioxide (As(2)O(3), ATO)",0.0062 
AC090587.2,Polycyclic aromatic hydrocarbons,0.0062 
AC113189.5,"Arsenic trioxide (As(2)O(3), ATO)",0.0062 
AC113189.5,Polycyclic aromatic hydrocarbons,0.0062 
